RUN	computerdatabase.advanced.AdvancedSimulationStep01	advancedsimulationstep01	1648367457706	 	3.7.6
USER	Scenario Name	START	1648367460483
REQUEST		Home	1648367460506	1648367462867	OK	 
REQUEST		Home Redirect 1	1648367462873	1648367466929	OK	 
REQUEST		Search	1648367467943	1648367468228	OK	 
REQUEST		Select	1648367469242	1648367469546	OK	 
REQUEST		Home	1648367470548	1648367470852	OK	 
REQUEST		Home Redirect 1	1648367470852	1648367471161	OK	 
REQUEST		Page 1	1648367473162	1648367473464	OK	 
REQUEST		Page 2	1648367474138	1648367474447	OK	 
REQUEST		Page 3	1648367475089	1648367475397	OK	 
REQUEST		Page 4	1648367476137	1648367476446	OK	 
REQUEST		Form	1648367481449	1648367481758	OK	 
REQUEST		Post	1648367482765	1648367483075	OK	 
REQUEST		Post Redirect 1	1648367483082	1648367483391	OK	 
USER	Scenario Name	END	1648367483393
